Land	2003	2004	2005
Deutschland	14,609	16,629	18,428
Spanien	6,202	8,263	10,027
USA	6,374	6,725	9,149
Indien	2,11	3	4,43
Dänemark	3,11	3,117	3,122
Italien	0,904	1,125	1,717
Großbritannien	0,649	0,888	1,353
China	0,568	0,764	1,26
Japan	0,686	0,936	1,231
Niederlande	0,873	1,078	1,219
Portugal	0,299	0,522	1,022
Österreich	0,415	0,606	0,819
Frankreich	0,239	0,386	0,757
Australien	0,198	0,38	0,708
Kanada	0,317	0,444	0,683
Schweden	0,399	0,442	0,5
Irland	0,186	0,339	0,496
Norwegen	0,101	0,16	0,267
Belgien	0,068	0,095	0,167
Finnland	0,051	0,082	0,082
Polen	0,057	0,063	0,073
Luxemburg	0,022	0,035	0,035
Schweiz	0,006	0,009	0,012
Sonstige	0,851	1,528	1,765
Summe	39,294	47,616	59,322
