Land	2015	2016	2017
China	145,36	168,69	187,73
USA	73,991	82,184	88,927
Deutschland	44,941	50,018	56,164
Indien	25,088	28,700	32,879
Spanien	23,025	23,047	23,026
Großbritannien	13,809	14,543	17,852
Frankreich	10,505	12,066	13,760
Brasilien	8,726	10,740	12,763
Kanada	11,219	11,900	12,239
Italien	8,975	9,257	9,700
Türkei	4,694	6,081	6,981
Schweden	6,029	6,520	6,721
Polen	5,100	5,782	6,534
Dänemark	5,064	5,228	5,320
Portugal	5,050	5,316	5,316
Australien	4,187	4,327	4,879
Niederlande	3,443	4,328	
Mexiko	3,073	3,527	
Japan	3,038	3,234	
Rumänien	2,976	3,028	
Irland	2,446	2,830	
Österreich	2,411	2,632	
Belgien	2,218	2,386	
Sonstige	17,312	20,376	
Summe	432,68	486,74	539,29
