Land	2012	2013	2014
China	75,324	91,412	114,763
USA	60,007	61,11	65,879
Deutschland	31,27	34,25	39,165
Spanien	22,784	22,959	22,987
Indien	18,421	20,15	22,465
Großbritannien	8,649	10,711	12,44
Kanada	6,204	7,823	9,694
Frankreich	7,623	8,243	9,285
Italien	8,118	8,558	8,663
Brasilien	2,508	3,466	5,939
Schweden	3,746	4,382	5,425
Portugal	4,529	4,73	4,914
Dänemark	4,162	4,807	4,845
Polen	2,496	3,39	3,834
Australien	2,584	3,239	3,806
Türkei	2,312	2,959	3,763
Rumänien	1,905	2,6	2,954
Niederlande	2,391	2,671	2,805
Japan	2,614	2,669	2,789
Mexiko	1,369	1,859	2,381
Irland	1,749	2,049	2,272
Österreich	1,378	1,684	2,095
Griechenland	1,749	1,866	1,98
Belgien	0,996	1,651	1,959
Chile	0,205	0,331	0,836
Marokko	0,291	0,487	0,787
Taiwan	0,564	0,614	0,633
Finnland	0,288	0,449	0,627
Neuseeland	0,623	0,623	0,623
Ägypten	0,55	0,55	0,61
Südkorea	0,483	0,561	0,609
Uruguay	0,056	0,059	0,464
Argentinien	0,142	0,218	0,271
Pakistan	0,056	0,106	0,256
Tunesien	0,104	0,255	0,255
Karibik	0,191	0,25	0,25
Costa Rica	0,148	0,148	0,198
Nicaragua	0,146	0,146	0,186
Äthiopien	0,081	0,171	0,171
Zypern	0,147	0,147	0,147
Schweiz	0,05	0,06	0,06
Luxemburg	0,058	0,058	0,058
Cap Verde	0,024	0,024	0,024
Sonstige	3,955	3,905	5,363
Summe	283,05	318,4	369,53
