Land	2013	2014	2015
China	19,72	30,38	43,53
Deutschland	35,77	38,25	39,71
Japan	13,60	23,34	34,15
USA	12,08	18,32	25,67
Italien	18,07	18,61	18,91
Großbritannien	3,38	5,65	9,50
Frankreich	4,73	5,70	6,59
Spanien	4,64	4,65	5,43
Australien	3,23	4,09	5,11
Südkorea	1,48	2,48	3,49
Belgien	3,01	3,15	3,25
Kanada	1,21	1,90	2,58
Niederlande	0,72	1,12	1,56
Thailand	0,82	1,30	1,42
Schweiz	0,76	1,06	1,39
Österreich	0,63	0,79	0,94
Israel	0,48	0,68	0,89
Dänemark	0,56	0,61	0,79
Portugal	0,28	0,42	0,47
Türkei	0,02	0,06	0,27
Malaysia	0,07	0,20	0,23
Mexiko	0,11	0,11	0,17
Schweden	0,04	0,08	0,13
Norwegen	0,01	0,01	0,02
Andere	14,38	13,31	21,62
Summe Welt	139,8	177,0	227,7
